"","observed_on","year","prism_tmin","prism_tmax","Month","Day","yday","Latitude","id","local_hour","hour_temperature","color","colorid","season"
"49","2016-03-03",2016,9.41710317492273,22.8683759486374,3,4,63,30,2768563,17,20.4897244247154,"brown",0,"Non-Breeding season"
"50","2016-04-10",2016,12.864661661896,25.096169019292,4,11,101,30,2912354,15,24.8817263276627,"green",1,"Breeding season"
"51","2016-04-16",2016,12.864661661896,25.096169019292,4,17,107,30,2957997,13,24.8860767287181,"green",1,"Breeding season"
"52","2016-04-18",2016,12.864661661896,25.096169019292,4,19,109,30,2964863,10,21.8975008467468,"green",1,"Breeding season"
"53","2016-04-23",2016,12.864661661896,25.096169019292,4,24,114,30,3014620,14,25.096169019292,"brown",0,"Breeding season"
"54","2016-04-23",2016,12.864661661896,25.096169019292,4,24,114,30,3026414,2,12.864661661896,"green",1,"Breeding season"
"55","2016-04-06",2016,12.864661661896,25.096169019292,4,7,97,30,3034199,18,21.7690235250099,"green",1,"Breeding season"
"56","2016-04-28",2016,12.864661661896,25.096169019292,4,29,119,30,3074369,17,23.3164732758725,"green",1,"Breeding season"
"57","2016-05-04",2016,16.7393212713682,27.1672577821528,5,5,125,30,3106135,2,16.7393212713682,"green",1,"Breeding season"
"58","2016-05-05",2016,16.7393212713682,27.1672577821528,5,6,126,30,3107440,20,21.3003328355784,"brown",0,"Breeding season"
"59","2016-05-30",2016,16.7393212713682,27.1672577821528,5,31,151,30,3340739,13,27.0074725698119,"green",1,"Breeding season"
"60","2016-05-31",2016,16.7393212713682,27.1672577821528,6,1,152,30,3349144,13,27.0077123486404,"green",1,"Breeding season"
"61","2016-06-07",2016,21.4452601370568,32.224681951802,6,8,159,30,3403691,15,32.0611854771763,"green",1,"Breeding season"
"62","2016-06-08",2016,21.4452601370568,32.224681951802,6,9,160,30,3409355,10,29.7090833582039,"green",1,"Breeding season"
"63","2014-07-12",2014,21.5939682691956,33.9499003187759,7,12,193,30,3410123,8,27.7407476576417,"green",1,"Breeding season"
"64","2016-04-19",2016,12.864661661896,25.096169019292,4,20,110,30,3423909,6,14.0042164229624,"green",1,"Breeding season"
"65","2016-03-22",2016,9.41710317492273,22.8683759486374,3,23,82,30,3435653,14,22.8683759486374,"green",1,"Non-Breeding season"
"66","2016-07-02",2016,23.5033574449112,35.6468583667089,7,3,184,30,3598037,20,29.0714457454217,"brown",0,"Breeding season"
"67","2016-04-30",2016,12.864661661896,25.096169019292,5,1,121,30,3662755,18,22.0110650809477,"green",1,"Breeding season"
"68","2016-08-04",2016,22.7546522593512,33.3742157539713,8,5,217,30,3804516,11,31.8724585044869,"green",1,"Breeding season"
"69","2016-08-08",2016,22.7546522593512,33.3742157539713,8,9,221,30,3836104,13,33.2018588890965,"brown",0,"Breeding season"
"70","2016-08-28",2016,22.7546522593512,33.3742157539713,8,29,241,30,3980261,11,31.7617470285341,"green",1,"Breeding season"
"71","2016-09-01",2016,20.4882477929072,31.926088181753,9,2,245,30,4051358,2,20.4882477929072,"green",1,"Non-Breeding season"
