id,datetime,local_hour,county,scientific_name,hour_temperature,color,latitude.x,longitude.x,colorid,weeks,month,Season
101168380,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,21.816688001488004,brown,30.4117744315,-97.6487396288,0,45,11,summer excluded
101168382,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,23.112173417860852,brown,30.4117929368,-97.6487718153,0,45,11,summer excluded
101168382,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,21.816688001488004,brown,30.4117929368,-97.6487718153,0,45,11,summer excluded
101170331,2021-11-10 09:33:54 -0500,9,fulton,Anolis carolinensis,13.727834788888533,green,33.5913883333,-84.481895,1,45,11,summer excluded
10120690,2018-03-06 12:21:00 -0600,13,travis,Anolis carolinensis,25.393622156979454,green,30.24335,-97.8006138889,1,10,3,summer excluded
10120690,2018-03-06 12:21:00 -0600,13,travis,Anolis carolinensis,26.180563065582533,green,30.24335,-97.8006138889,1,10,3,summer excluded
10120691,2018-03-06 12:36:00 -0600,13,travis,Anolis carolinensis,25.393622156979454,green,30.2449083333,-97.8005055556,1,10,3,summer excluded
10120691,2018-03-06 12:36:00 -0600,13,travis,Anolis carolinensis,26.180563065582533,green,30.2449083333,-97.8005055556,1,10,3,summer excluded
101218914,2021-11-15 15:52:01 -0500,15,miamidade,Anolis carolinensis,23.32166956163781,brown,25.7367666667,-80.2351533333,0,46,11,summer excluded
10125489,2018-03-06 10:34:17 -0600,11,harris,Anolis carolinensis,23.23698173155796,green,29.76478,-95.45237,1,10,3,summer excluded
10125489,2018-03-06 10:34:17 -0600,11,harris,Anolis carolinensis,22.4117275748188,green,29.76478,-95.45237,1,10,3,summer excluded
101264913,2021-11-16 09:37:32 -0600,10,jefferson,Anolis carolinensis,12.566229369424576,brown,33.3576909084,-86.9559140708,0,46,11,summer excluded
101368770,2021-11-17 13:37:26 -0500,13,broward,Anolis carolinensis,26.114488462085554,green,26.1285583333,-80.247375,1,46,11,summer excluded
101427167,2021-11-18 09:27:08 -0500,9,leon,Anolis carolinensis,15.816341088195179,green,30.4526413828,-84.3107897668,1,46,11,summer excluded
101494347,2021-11-18 14:38:14 -0500,14,wake,Anolis carolinensis,23.238304254850803,brown,35.970325,-78.6420027778,0,46,11,summer excluded
101494347,2021-11-18 14:38:14 -0500,14,wake,Anolis carolinensis,23.018920164750405,brown,35.970325,-78.6420027778,0,46,11,summer excluded
10150943,2018-03-08 11:20:08 -0600,12,harris,Anolis carolinensis,15.959357573945933,brown,29.762455,-95.45018,0,10,3,summer excluded
101561085,2021-11-20 13:52:58 -0600,14,harris,Anolis carolinensis,18.12347052897656,green,29.8571585301,-95.6835010834,1,47,11,summer excluded
101656865,2021-11-21 10:41:00 -0500,10,hillsborough,Anolis carolinensis,21.869340115749807,brown,28.0631458744,-82.4146682926,0,47,11,summer excluded
101679434,2021-11-21 06:55:42 -0500,6,wake,Anolis carolinensis,-1.2483442169586212,brown,35.7325,-78.8506,0,47,11,summer excluded
101679434,2021-11-21 06:55:42 -0500,6,wake,Anolis carolinensis,-1.2298439561533137,brown,35.7325,-78.8506,0,47,11,summer excluded
101707476,2021-11-09 15:52:00 -0500,15,orleans,Anolis carolinensis,24.0579674441845,brown,30.0628740179,-89.8956828491,0,45,11,summer excluded
101707476,2021-11-09 15:52:00 -0500,15,orleans,Anolis carolinensis,23.02652999969566,brown,30.0628740179,-89.8956828491,0,45,11,summer excluded
10171229,2018-03-10 14:30:57 -0600,15,harris,Anolis carolinensis,22.102662592901208,brown,30.05409876,-95.20780354,0,10,3,summer excluded
101718016,2021-11-21 02:42:17 -0500,2,wake,Anolis carolinensis,0.12571757975051945,brown,35.653115,-78.926837,0,47,11,summer excluded
101718016,2021-11-21 02:42:17 -0500,2,wake,Anolis carolinensis,1.4107453280097602,brown,35.653115,-78.926837,0,47,11,summer excluded
10173910,2018-03-10 17:19:23 -0600,18,dallas,Anolis carolinensis,19.197778635889076,brown,32.80565,-96.7461783333,0,10,3,summer excluded
101792829,2021-11-23 18:23:40 -0600,19,jefferson,Anolis carolinensis,9.71222156297463,brown,33.3565163642,-86.8431928884,0,47,11,summer excluded
101802028,2021-11-23 11:54:06 -0500,11,wake,Anolis carolinensis,11.001973904791866,brown,35.7218931294,-78.6917047605,0,47,11,summer excluded
101880017,2021-11-25 08:57:45 -0500,8,hillsborough,Anolis carolinensis,12.221905638479942,green,27.9274101257,-82.3802032471,1,47,11,summer excluded
101893470,2021-09-25 10:00:00 -0400,10,wake,Anolis carolinensis,19.522977467019757,green,35.605873,-78.7652515,1,39,9,summer excluded
101905035,2021-11-25 16:18:42 -0500,16,miamidade,Anolis carolinensis,23.0362137599325,green,25.733553745,-80.3866475832,1,47,11,summer excluded
101941103,2021-10-07 15:40:00 -0400,15,fulton,Anolis carolinensis,25.039759174310838,green,33.5169533442,-84.7401972739,1,40,10,summer excluded
101941103,2021-10-07 15:40:00 -0400,15,fulton,Anolis carolinensis,26.64347915335222,green,33.5169533442,-84.7401972739,1,40,10,summer excluded
101959916,2018-11-03 14:43:00 +0100,9,orange,Anolis carolinensis,20.759697786789037,green,28.756665,-81.4983083333,1,44,11,summer excluded
101974243,2021-11-26 12:02:40 -0500,12,wake,Anolis carolinensis,15.413133569928986,brown,35.7866383333,-78.922645,0,48,11,summer excluded
102004495,2021-11-26 00:00:00 +0000,19,hillsborough,Anolis carolinensis,19.091661893583545,brown,28.1140756316,-82.3064378276,0,48,11,summer excluded
102030972,2021-10-25 11:33:57 -0400,11,fulton,Anolis carolinensis,21.7384270109278,green,33.7518476739,-84.3603672087,1,43,10,summer excluded
102153455,2021-11-26 15:00:00 -0500,15,orange,Anolis carolinensis,23.96657952039164,green,28.5936522564,-81.5709317639,1,48,11,summer excluded
102245308,2021-11-29 15:07:40 -0500,15,leon,Anolis carolinensis,14.79789732436047,brown,30.3617033333,-84.674645,0,48,11,summer excluded
102249715,2021-11-26 12:19:25 -0500,12,mecklenburg,Anolis carolinensis,15.432376194687388,brown,35.12325,-80.7934633333,0,48,11,summer excluded
102250200,2021-11-30 13:27:05 -0500,13,miamidade,Anolis carolinensis,22.39481488655472,green,25.7238244722,-80.28105255,1,48,11,summer excluded
102294144,2021-12-01 05:08:00 -0600,6,travis,Anolis carolinensis,7.232309930419147,green,30.5715736578,-97.7866618051,1,48,12,summer excluded
102333225,2021-12-01 13:16:38 -0600,14,travis,Anolis carolinensis,21.073820589071733,brown,30.29508,-97.7487633333,0,48,12,summer excluded
102333225,2021-12-01 13:16:38 -0600,14,travis,Anolis carolinensis,23.271649879823343,brown,30.29508,-97.7487633333,0,48,12,summer excluded
10235065,2018-03-14 10:20:27 -0500,11,harris,Anolis carolinensis,17.066939623150496,green,29.7623783333,-95.45025,1,11,3,summer excluded
102362545,2021-12-02 11:55:28 -0600,12,dallas,Anolis carolinensis,21.979234025047468,brown,32.67578377,-96.92279091,0,48,12,summer excluded
102368778,2021-12-02 14:30:30 -0500,14,leon,Anolis carolinensis,21.666901038544882,brown,30.4427091685,-84.3060973437,0,48,12,summer excluded
102377082,2021-11-14 12:27:00 +0000,7,bexar,Anolis carolinensis,9.560002674767079,brown,29.5758733321,-98.6257832865,0,46,11,summer excluded
10238325,2018-02-11 14:13:40 -0500,14,hillsborough,Anolis carolinensis,28.511393980860674,green,28.054084837,-82.3938006324,1,6,2,summer excluded
102431843,2021-12-03 14:05:06 -0600,15,harris,Anolis carolinensis,24.62044311526266,green,29.8531352013,-95.6836299977,1,49,12,summer excluded
102431843,2021-12-03 14:05:06 -0600,15,harris,Anolis carolinensis,24.068983044929773,green,29.8531352013,-95.6836299977,1,49,12,summer excluded
102462186,2021-11-13 12:16:50 -0600,13,harris,Anolis carolinensis,22.584037632042346,brown,29.85898,-95.1604216667,0,46,11,summer excluded
10248361,2018-03-15 14:33:48 -0500,15,jefferson,Anolis carolinensis,12.414564194448477,brown,33.4855235042,-86.7786685658,0,11,3,summer excluded
102485310,2021-12-04 12:24:42 -0500,12,wake,Anolis carolinensis,22.433837483451043,brown,35.8906708056,-78.5874092778,0,49,12,summer excluded
102550726,2021-12-05 13:14:20 -0600,14,harris,Anolis carolinensis,26.765150425746732,green,29.5463916085,-95.1256914257,1,49,12,summer excluded
102550726,2021-12-05 13:14:20 -0600,14,harris,Anolis carolinensis,25.16349590364308,green,29.5463916085,-95.1256914257,1,49,12,summer excluded
102561215,2021-11-29 11:29:00 -0500,11,miamidade,Anolis carolinensis,22.307065580549537,green,25.3851260293,-80.6231810335,1,48,11,summer excluded
102588993,2021-12-04 14:43:00 -0500,14,wake,Anolis carolinensis,24.316512096610566,brown,35.7819953079,-78.8281836767,0,49,12,summer excluded
102675465,2021-11-18 12:02:45 -0500,12,wake,Anolis carolinensis,21.570110905012264,brown,35.781,-78.3697,0,46,11,summer excluded
102675465,2021-11-18 12:02:45 -0500,12,wake,Anolis carolinensis,21.393867048359617,brown,35.781,-78.3697,0,46,11,summer excluded
102685422,2021-10-20 15:26:46 -0400,15,leon,Anolis carolinensis,26.176969509724394,green,30.3072025882,-84.6787936503,1,42,10,summer excluded
102685422,2021-10-20 15:26:46 -0400,15,leon,Anolis carolinensis,26.90294064967227,green,30.3072025882,-84.6787936503,1,42,10,summer excluded
102730776,2021-12-08 15:26:00 -0500,15,broward,Anolis carolinensis,27.826660721647965,green,26.1010445016,-80.1251220703,1,49,12,summer excluded
10281518,2018-03-17 18:15:50 -0500,19,harris,Anolis carolinensis,22.70115335541557,green,29.66242591,-95.45552528,1,11,3,summer excluded
102815911,2021-12-10 07:44:51 -0600,8,harris,Anolis carolinensis,20.014342183781764,brown,29.8581241424,-95.683602456,0,50,12,summer excluded
102834312,2021-12-10 14:51:33 -0500,14,miamidade,Anolis carolinensis,28.319193570151782,brown,25.9651616667,-80.1393195,0,50,12,summer excluded
102877325,2021-12-11 11:40:28 -0500,11,leon,Anolis carolinensis,23.329260957662612,brown,30.4577090853,-84.303780644,0,50,12,summer excluded
102897039,2021-12-08 14:49:00 -0500,14,travis,Anolis carolinensis,20.02097676180169,green,30.269449,-97.771189,1,49,12,summer excluded
102912525,2021-12-08 15:01:00 -0600,16,travis,Anolis carolinensis,18.362749507148777,brown,30.2713299337,-97.7749387579,0,49,12,summer excluded
102968505,2021-12-05 12:41:00 -0600,13,travis,Anolis carolinensis,24.95124056445016,green,30.4118332003,-97.6486430693,1,49,12,summer excluded
102968505,2021-12-05 12:41:00 -0600,13,travis,Anolis carolinensis,26.564557944857846,green,30.4118332003,-97.6486430693,1,49,12,summer excluded
10299422,2018-03-18 11:44:00 -0500,12,travis,Anolis carolinensis,26.518772762327522,green,30.3097920061,-97.7996386787,1,11,3,summer excluded
10299424,2018-03-18 12:23:00 -0500,13,travis,Anolis carolinensis,27.080501285865985,green,30.2795942905,-97.7793490009,1,11,3,summer excluded
103062716,2021-12-14 16:05:07 -0500,16,fulton,Anolis carolinensis,15.325148192247942,brown,33.76092815,-84.38433119,0,50,12,summer excluded
103077964,2021-11-17 11:47:00 -0600,12,harris,Anolis carolinensis,25.603625298277677,green,29.9731527,-95.570318,1,46,11,summer excluded
103081863,2021-12-10 15:41:24 -0500,15,wake,Anolis carolinensis,7.595443829968622,green,35.8864033333,-78.6480633333,1,50,12,summer excluded
103114647,2021-12-15 15:33:32 -0500,15,miamidade,Anolis carolinensis,27.02054848042066,green,25.9633033333,-80.1394278333,1,50,12,summer excluded
103131346,2021-12-15 15:49:27 -0500,15,miamidade,Anolis carolinensis,27.02054848042066,brown,25.5590027778,-80.4523722222,0,50,12,summer excluded
10315022,2018-03-19 12:31:00 -0500,13,dallas,Anolis carolinensis,24.58915811033996,brown,32.9144444444,-96.9888888889,0,12,3,summer excluded
10320927,2018-03-17 15:19:54 -0400,15,richland,Anolis carolinensis,23.420052207606286,green,34.1617019197,-80.8963908255,1,11,3,summer excluded
103265731,2021-12-17 14:38:33 -0500,14,wake,Anolis carolinensis,20.771583671120286,brown,35.6957277778,-78.7650861111,0,51,12,summer excluded
103265749,2021-12-17 14:38:33 -0500,14,wake,Anolis carolinensis,20.771583671120286,brown,35.6957277778,-78.7650861111,0,51,12,summer excluded
103276080,2021-12-18 17:34:51 -0500,17,alachua,Anolis carolinensis,25.22735065787699,green,29.6758,-82.3404138889,1,51,12,summer excluded
103276080,2021-12-18 17:34:51 -0500,17,alachua,Anolis carolinensis,23.846838973055306,green,29.6758,-82.3404138889,1,51,12,summer excluded
103277356,2021-12-18 11:38:00 -0500,11,orange,Anolis carolinensis,25.25293014060917,green,28.5718818946,-80.9973278455,1,51,12,summer excluded
103285362,2021-12-18 21:15:01 -0500,21,richland,Anolis carolinensis,20.080210456690374,green,34.1617371528,-80.8963686973,1,51,12,summer excluded
103330528,2021-10-31 00:00:00 -1000,6,wake,Anolis carolinensis,9.100747462518505,brown,35.9705040011,-78.642034101,0,44,10,summer excluded
103330528,2021-10-31 00:00:00 -1000,6,wake,Anolis carolinensis,9.060729541755443,brown,35.9705040011,-78.642034101,0,44,10,summer excluded
103424574,2021-12-12 13:05:45 -0500,13,wake,Anolis carolinensis,23.35724526292936,brown,35.781,-78.3697,0,50,12,summer excluded
10345864,2018-03-21 15:27:45 -0500,16,harris,Anolis carolinensis,18.914494472818106,green,30.0137772644,-95.5568301492,1,12,3,summer excluded
103525924,2021-12-22 12:54:42 -0500,12,fulton,Anolis carolinensis,5.496091683245391,brown,33.881895,-84.439505,0,51,12,summer excluded
103563632,2021-12-22 12:11:40 -0800,15,harris,Anolis carolinensis,15.584813237755812,green,29.85687,-95.1638416667,1,51,12,summer excluded
103616266,2021-12-24 15:12:00 -0600,16,alachua,Anolis carolinensis,19.025684575184126,brown,29.7048495317,-82.4548461901,0,52,12,summer excluded
10363132,2018-03-22 16:50:45 -0400,16,richland,Anolis carolinensis,11.232215260881457,brown,34.1356062284,-81.1590540224,0,12,3,summer excluded
103636913,2021-12-24 09:07:00 -0800,12,miamidade,Anolis carolinensis,21.7705403810978,green,25.6854277778,-80.2773361111,1,52,12,summer excluded
10365185,2018-03-06 10:34:18 -0600,11,harris,Anolis carolinensis,22.4117275748188,green,29.76478,-95.45237,1,10,3,summer excluded
